MEG_5813|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTA,10,APH6,5
MEG_411|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,10,UHPT,5
MEG_2430|Drugs|betalactams|Class_A_betalactamases|CTX,10,MSRG,5
MEG_6545|Biocides|Peroxide_resistance|peroxide_resistance_protein|SODB,10,MARR,5
MEG_2692|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBC,10,KDPE,5
MEG_2458|Metals|Copper_resistance|Copper_resistance_protein|CUTF,10,RPH,5
MEG_8068|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,9,PCOC,4
MEG_4012|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,9,FOSE,4
MEG_7238|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,9,CUTA,4
MEG_3746|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|MDTA,9,ZUR,4
MEG_7819|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|YDEO,9,PCOB,4
MEG_3737|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDFA,9,FLOR,4
MEG_3141|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|GLPF,9,MEFF,4
MEG_5801|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|PMRF,9,YHCN,4
MEG_4006|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODB,9,YODB,4
MEG_5332|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,9,CUTC,4
MEG_6123|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,8,NIKC,4
MEG_7154|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,8,TETH,4
MEG_3755|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTH,8,MEFB,4
MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,8,RPSL,4
MEG_5814|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTB,8,PCOR,4
MEG_1190|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,8,PCOD,4
MEG_5816|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS,8,ARR,4
MEG_3948|Metals|Multi-metal_resistance|Multi-metal_resistance_regulator|MGTA,8,ARIR,3
MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,8,CORA,3
MEG_2443|Metals|Copper_resistance|Copper_resistance_regulator|CUER,8,TET32,3
MEG_2873|Biocides|Phenolic_compound_resistance|Triclosan-resistant_mutation|FABG|RequiresSNPConfirmation,8,PBP4B,3
MEG_4033|Drugs|MLS|Macrolide_phosphotransferases|MPHB,8,FOSK,3
MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,8,ANT6,3
MEG_729|Drugs|betalactams|Penicillin_binding_protein|AMPH,8,TET56,3
MEG_2875|Biocides|Phenolic_compound_resistance|Phenolic_resistance_protein|FABI,8,CATB,3
MEG_2955|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,8,PH23S,3
MEG_7853|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZNTA,7,HNS,3
MEG_2122|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,7,BHSA,3
MEG_3761|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTM,7,ZITB,3
MEG_4794|Drugs|betalactams|Class_D_betalactamases|OXA,7,KHM,3
MEG_4168|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKB,7,PAREF,3
MEG_4000|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTR,7,TETL,3
MEG_7854|Metals|Zinc_resistance|Zinc_resistance_regulator|ZNTR,7,VANHD,3
MEG_6136|Drugs|Multi-drug_resistance|MDR_mutation|MRPOB|RequiresSNPConfirmation,7,TET53,2
MEG_4103|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|MVRC,6,AAC6-PRIME,2
MEG_1180|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_regulator|ASMA,6,TETBP,2
MEG_3244|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation,6,ARSR,2
MEG_2435|Drugs|betalactams|Class_A_betalactamases|CTX,6,AMPC,2
MEG_3137|Drugs|betalactams|Class_B_betalactamases|GIM,6,OMPA,2
MEG_2091|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORC,6,EMHB,2
MEG_4160|Metals|Chromium_resistance|Chromium_resistance_protein|NFSA,6,DHFR,2
MEG_7306|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,6,MSRF,2
MEG_7150|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,6,ERMA,2
MEG_6551|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_resistance_regulator|SOXS,6,APH3-DPRIME,2
MEG_6549|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|SOXRB,6,LSAE,2
MEG_7229|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,6,YCHH,2
MEG_2725|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB,6,VANYF,2
MEG_6506|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILP,6,TCRY,2
MEG_3999|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|MNTP,6,ERM,2
MEG_6509|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_regulator|SILS,6,OMPK36,2
MEG_7818|Biocides|Peroxide_resistance|peroxide_resistance_protein|YDEI,6,TETA,2
MEG_7309|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,6,SILE,2
MEG_7328|Drugs|Cationic_antimicrobial_peptides|Lipid_A_modification|UGD,6,TCRZ,1
MEG_6499|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILA,6,MEFC,1
MEG_6082|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|ROBA,6,APH2-DPRIME,1
MEG_6997|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,6,DSBA,1
MEG_7832|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|YGJH,5,YFMP,1
MEG_7264|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,5,LIAFSR,1
MEG_3759|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|MDTK,5,GLPT,1
MEG_6504|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILF,5,COMR,1
MEG_1210|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,5,MERR1,1
MEG_3219|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,5,TET49,1
MEG_7831|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YGIW,5,YFMO,1
MEG_1701|Metals|Sodium_resistance|Sodium_resistance_protein|CHAA,5,OMP36,1
MEG_6500|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILB,5,OMPF,1
MEG_4073|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRD,5,MPHG,1
MEG_1189|Drugs|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,5,TET51,1
MEG_5382|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,5,COPD,1
MEG_7317|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,5,ARSBM,1
MEG_7330|Drugs|Fosfomycin|Fosfomycin_target_mutation|UHPT|RequiresSNPConfirmation,5
MEG_6501|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILC,5
MEG_7225|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,5
MEG_7263|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|TOLC,5
MEG_7149|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,5
MEG_2450|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,5
MEG_3663|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARR,5
MEG_7182|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,5
MEG_3448|Drugs|Aminoglycosides|Aminoglycoside_efflux_pumps|KDPE,5
MEG_7194|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,4
MEG_5420|Metals|Copper_resistance|Copper_resistance_protein|PCOC,4
MEG_3019|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSE,4
MEG_2454|Metals|Copper_resistance|Copper_resistance_protein|CUTA,4
MEG_7867|Metals|Zinc_resistance|Zinc_resistance_regulator|ZUR,4
MEG_5418|Metals|Copper_resistance|Copper_resistance_protein|PCOB,4
MEG_3291|Biocides|Acetate_resistance|Acetate_resistance_protein|ICLR,4
MEG_7833|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YHCN,4
MEG_7841|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YODB,4
MEG_2120|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,4
MEG_2449|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|CUSC,4
MEG_8427|Drugs|betalactams|Class_D_betalactamases|OXA,4
MEG_4781|Drugs|betalactams|Class_D_betalactamases|OXA,4
MEG_4170|Metals|Nickel_resistance|Nickel_ABC_efflux_pumps|NIKC,4
MEG_3662|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MARA,4
MEG_6507|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILP,4
MEG_7112|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,4
MEG_3827|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFB,4
MEG_948|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,4
MEG_8678|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|RPSL|RequiresSNPConfirmation,4
MEG_2118|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,4
MEG_5424|Metals|Copper_resistance|Copper_resistance_regulator|PCOR,4
MEG_8260|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRG,4
MEG_5422|Metals|Copper_resistance|Copper_resistance_protein|PCOD,4
MEG_5062|Drugs|betalactams|Class_D_betalactamases|OXA,4
MEG_1134|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,4
MEG_410|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRF,4
MEG_6086|Drugs|Rifampin|Rifampin_phosphotransferase|RPH,4
MEG_1107|Biocides|Multi-biocide_resistance|Multi-biocide_resistance_regulator|ARIR,3
MEG_2087|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|CORA,3
MEG_5409|Drugs|betalactams|Penicillin_binding_protein|PBP4B,3
MEG_3023|Drugs|Fosfomycin|Fosfomycin_thiol_transferases|FOSK,3
MEG_7104|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,3
MEG_7009|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET56,3
MEG_6103|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,3
MEG_7178|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,3
MEG_4010|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODC,3
MEG_3226|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,3
MEG_2456|Metals|Copper_resistance|Copper_resistance_protein|CUTC,3
MEG_5781|Drugs|Phenicol|Phenicol-resistant_23S_rRNA_mutation|PH23S|RequiresSNPConfirmation,3
MEG_3271|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|HNS,3
MEG_7217|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,3
MEG_7321|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,3
MEG_1231|Metals|Copper_resistance|Copper_resistance_regulator|BHSA,3
MEG_7212|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,3
MEG_7084|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETH,3
MEG_7851|Metals|Zinc_resistance|Zinc_resistance_protein|ZITB,3
MEG_3451|Drugs|betalactams|Class_B_betalactamases|KHM,3
MEG_5394|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation,3
MEG_7161|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,3
MEG_7164|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,3
MEG_4163|Metals|Sodium_resistance|Sodium_resistance_protein|NHAB,3
MEG_7429|Drugs|Glycopeptides|VanD-type_resistance_protein|VANHD,3
MEG_1003|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9,3
MEG_6114|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,3
MEG_7006|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET53,2
MEG_6111|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,2
MEG_7055|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETBP,2
MEG_1173|Metals|Arsenic_resistance|Arsenic_resistance_regulator|ARSR,2
MEG_728|Drugs|betalactams|Class_C_betalactamases|AMPC,2
MEG_8288|Drugs|betalactams|Mutant_porin_proteins|OMPA,2
MEG_5333|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,2
MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,2
MEG_2930|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|FLOR,2
MEG_2716|Biocides|Multi-biocide_resistance|Multi-biocide_RND_efflux_pump|EMHB,2
MEG_8244|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFF,2
MEG_6124|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,2
MEG_870|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,2
MEG_1625|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,2
MEG_7310|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,2
MEG_8258|Drugs|MLS|MLS_resistance_ABC_efflux_pumps|MSRF,2
MEG_5369|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,2
MEG_1545|Drugs|betalactams|Class_A_betalactamases|CARB,2
MEG_7866|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|ZUPT,2
MEG_3216|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,2
MEG_2963|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,2
MEG_1019|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,2
MEG_6998|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET44,2
MEG_3754|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|MDTG,2
MEG_3648|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|LSAE,2
MEG_7813|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_resistance_protein|YCHH,2
MEG_7213|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,2
MEG_1086|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH6,2
MEG_925|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,2
MEG_6653|Metals|Copper_resistance|Copper_resistance_protein|TCRY,2
MEG_2756|Drugs|MLS|23S_rRNA_methyltransferases|ERM,2
MEG_6970|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,2
MEG_8290|Drugs|betalactams|Mutant_porin_proteins|OMPK36|RequiresSNPConfirmation,2
MEG_7094|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETL,2
MEG_7014|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,2
MEG_8148|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,2
MEG_6503|Metals|Multi-metal_resistance|Multi-metal_RND_efflux_pumps|SILE,2
MEG_5350|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,2
MEG_1541|Drugs|betalactams|Class_A_betalactamases|CARB,2
MEG_7180|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,2
MEG_7226|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,2
MEG_5348|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,2
MEG_8245|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFF,2
MEG_6654|Metals|Copper_resistance|Copper_resistance_protein|TCRZ,1
MEG_89|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,1
MEG_3828|Drugs|MLS|MLS_resistance_MFS_efflux_pumps|MEFC,1
MEG_6971|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,1
MEG_1015|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME,1
MEG_2688|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|DSBA,1
MEG_4750|Drugs|betalactams|Class_D_betalactamases|OXA,1
MEG_7166|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,1
MEG_5357|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,1
MEG_2630|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,1
MEG_7829|Metals|Copper_resistance|Copper_resistance_regulator|YFMP,1
MEG_3590|Drugs|Lipopeptides|Daptomycin-resistant_mutant|LIAFSR|RequiresSNPConfirmation,1
MEG_3144|Drugs|Fosfomycin|Fosfomycin_target_mutation|GLPT|RequiresSNPConfirmation,1
MEG_2785|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,1
MEG_941|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,1
MEG_2017|Metals|Copper_resistance|Copper_resistance_regulator|COMR,1
MEG_8718|Drugs|Tetracyclines|Tetracycline_inactivation_enzymes|TETX,1
MEG_4803|Drugs|betalactams|Class_D_betalactamases|OXA,1
MEG_696|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK,1
MEG_763|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,1
MEG_7607|Drugs|Glycopeptides|VanF-type_accessory_protein|VANYF,1
MEG_3183|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,1
MEG_3885|Metals|Mercury_resistance|Mercury_resistance_regulator|MERR1,1
MEG_5063|Drugs|betalactams|Class_D_betalactamases|OXA,1
MEG_7146|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,1
MEG_1282|Drugs|betalactams|Class_C_betalactamases|BLAEC,1
MEG_7002|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET49,1
MEG_7828|Metals|Copper_resistance|Copper_resistance_protein|YFMO,1
MEG_7606|Drugs|Glycopeptides|VanF-type_accessory_protein|VANYF,1
MEG_5378|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,1
MEG_4279|Drugs|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation,1
MEG_3227|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,1
MEG_4287|Drugs|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPF|RequiresSNPConfirmation,1
MEG_4045|Drugs|MLS|Macrolide_phosphotransferases|MPHG,1
MEG_7004|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET51,1
MEG_7082|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETH,1
MEG_4031|Drugs|MLS|Macrolide_phosphotransferases|MPHB,1
MEG_2618|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,1
MEG_2055|Metals|Copper_resistance|Copper_resistance_protein|COPD,1
MEG_1153|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSBM,1
